"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7036",950.256804394204,-0.00240458636456152,0.066758432843033,-0.0360192152834885,0.97126703731442,0.993660456381039
"51322",1969.89211887263,-0.00182431933207641,0.049846436948945,-0.0365987910819978,0.970804907462852,0.993660456381039
"10613",683.521480410936,0.00268774681475699,0.0727164280718784,0.0369620302595202,0.970515280502563,0.993660456381039
"114879",612.257131578236,0.00280866975427217,0.0776780355420851,0.0361578370857546,0.971156505119685,0.993660456381039
"8315",344.727552114706,-0.00337475015073756,0.093882627249616,-0.0359464817890614,0.971325032689306,0.993660456381039
"90850",804.282797817361,-0.00248073819284386,0.0684673039590483,-0.036232450372628,0.971097011313912,0.993660456381039
"29911",305.347860089038,-0.00368731130578833,0.0987193537176597,-0.0373514530528041,0.970204780485938,0.993660456381039
"9762",113.329129046048,-0.00573528897876379,0.158724681768204,-0.0361335673499059,0.971175856921405,0.993660456381039
"102724023",329.686920819,0.00349732200355004,0.0970369731322052,0.0360411283520274,0.971249564560366,0.993660456381039
"400322",570.042392943692,-0.00274641781780833,0.0773504711706941,-0.035506154988347,0.971676138500523,0.993928940577497
"58527",95.9026403220116,0.00599778199757874,0.169579780214017,0.0353684972937768,0.971785904505668,0.993950531467297
"7087",398.806088478484,0.00310929929647189,0.0885250902555252,0.0351233677084879,0.971981368169078,0.994053367540253
"55285",399.349576252388,-0.00351391423142632,0.100340175497236,-0.0350200128115492,0.972063782744072,0.994053367540253
"1352",156.765794930999,-0.00467993706524397,0.135144522502021,-0.0346291287179173,0.972375474066208,0.994281415519542
"28977",617.992171503,-0.00271479051008684,0.0793724592976548,-0.0342031799708524,0.972715130776163,0.994538014695081
"533",891.213031523202,0.00242535482268031,0.0808317407369043,0.0300049807237789,0.976063080917384,0.994571169867727
"101060226",1015.45664049161,-0.00195421422018396,0.0626443400983258,-0.0311953836071487,0.975113721472097,0.994571169867727
"8349",137.484756273837,0.00424663383641353,0.142043939360832,0.0298966211126113,0.976149500608,0.994571169867727
"11189",139.819168291065,-0.00443834132282794,0.144442406384574,-0.0307274119416909,0.975486929912253,0.994571169867727
"200185",809.981950576333,-0.0025704316324957,0.0787192102304353,-0.0326531684574993,0.973951170113458,0.994571169867727
"91687",406.439664728696,0.00262325500593535,0.0892919566432697,0.0293784020929849,0.976562798001871,0.994571169867727
"148641",309.071204250551,-0.0032484130350516,0.102097086019084,-0.0318169025357335,0.974618067186169,0.994571169867727
"84826",96.1024114388675,-0.00489711817157816,0.168602299412829,-0.0290453818757678,0.976828396344086,0.994571169867727
"26469",308.992566429842,-0.003037500492472,0.104345816799196,-0.0291099402510538,0.976776907984756,0.994571169867727
"65062",260.207823090825,-0.00364685319796323,0.108024270082433,-0.0337595726884369,0.97306887387641,0.994571169867727
"6159",12968.1139110732,0.00160530310657419,0.0549126096987284,0.0292337791880863,0.976678140843167,0.994571169867727
"25981",113.405167695325,0.00469577709172468,0.158216941929745,0.029679356928854,0.97632277545295,0.994571169867727
"8723",417.456059683371,-0.00287262715343759,0.0858552142551427,-0.033458971343322,0.973308583623445,0.994571169867727
"4026",1802.1217683811,0.00174035583495738,0.052351781495072,0.0332434882874273,0.973480418633516,0.994571169867727
"56898",155.1714839495,0.00418185417426355,0.134588142235235,0.0310714904360182,0.975212526023686,0.994571169867727
"57688",682.167297091239,-0.00232763390703127,0.0715840258647938,-0.0325161078733913,0.974060470596555,0.994571169867727
"285704",213.91738941607,-0.00396416125213127,0.117669627261922,-0.0336889080417276,0.973125224053674,0.994571169867727
"55374",317.335987477177,0.00319906449915159,0.0996688753805927,0.0320969258149621,0.974394754993013,0.994571169867727
"79969",190.405835246863,-0.00414167268183287,0.123208526342291,-0.0336151466524866,0.973184043812407,0.994571169867727
"115004",319.71878523895,0.00316047968858047,0.100291780606057,0.0315128485054497,0.974860545608938,0.994571169867727
"441177",258.213690898942,-0.00315457080238779,0.106660974448833,-0.0295756795649854,0.9764054617223,0.994571169867727
"90639",395.017200633387,-0.0025833877254426,0.0888148077877682,-0.0290873536721022,0.976794921839321,0.994571169867727
"340252",110.044065738481,0.00526400722296214,0.162195688566053,0.0324546679970374,0.9741094666657,0.994571169867727
"64599",1382.92891088713,0.00184742944472962,0.0556912658439165,0.0331726962340437,0.973536871383935,0.994571169867727
"10248",404.8781526436,-0.00279649750673845,0.0877344078115331,-0.0318745812104386,0.974572069592314,0.994571169867727
"10466",830.533074359329,0.00201624099011048,0.0679282523887718,0.0296819205442087,0.976320730884608,0.994571169867727
"84904",298.595383870017,-0.00322853814635308,0.104753897464846,-0.0308202198150816,0.975412914998368,0.994571169867727
"84545",352.189118718543,-0.0032095887522532,0.106879721555863,-0.0300299131166394,0.97604319670638,0.994571169867727
"10360",160.870277946815,0.00410362809639899,0.132359035277544,0.0310037625145429,0.975266539063984,0.994571169867727
"26472",2695.75499099564,-0.00173651214579195,0.0524049988702219,-0.0331363836127986,0.973565828744107,0.994571169867727
"2101",552.299421487011,-0.00251371620271552,0.0775970914505951,-0.0323944642218448,0.97415747708385,0.994571169867727
"8772",422.423672474699,0.0025120288186274,0.0850458759144878,0.0295373384260656,0.976436040165699,0.994571169867727
"4863",389.040589882821,0.00272554060244582,0.0906490596895785,0.0300669484248292,0.976013660143186,0.994571169867727
"25988",222.939790171163,0.0037839807850382,0.114496644312415,0.0330488356908806,0.973635643640972,0.994571169867727
"100528030",147.567363829256,-0.00413340730494917,0.138023581134692,-0.029947109551632,0.976109234691447,0.994571169867727
"326625",135.184132121422,-0.00460423108855245,0.147309413791323,-0.0312555115796928,0.975065769674025,0.994571169867727
"10302",337.19632944913,-0.00282382290722964,0.0959218127844161,-0.0294387983844318,0.976514629567522,0.994571169867727
"51479",933.234483741015,0.00227226260725417,0.0679383218085357,0.0334459631437155,0.973318956859274,0.994571169867727
"147007",131.807673461953,-0.00511874473638638,0.152316169287174,-0.033606049576625,0.973191298130128,0.994571169867727
"162427",615.772939051425,0.00231584688442393,0.0743235717959213,0.0311589826546928,0.975142751117979,0.994571169867727
"57534",1111.04963908835,-0.00190629445234927,0.0644199126158485,-0.0295916957186354,0.97639268827143,0.994571169867727
"64981",344.875695558287,-0.00292850818855714,0.099340226768034,-0.0294795802650562,0.976482104451037,0.994571169867727
"6237",902.296335041472,-0.00191398294842089,0.065874093273161,-0.0290551695411449,0.97682059021156,0.994571169867727
"55544",353.736617843875,-0.00295998818646143,0.0940696353509729,-0.0314659260176542,0.974897965780326,0.994571169867727
"84619",244.873118068263,0.0035060683060736,0.113487065369958,0.0308939903824644,0.97535408261724,0.994571169867727
"4330",910.490898393346,-0.0020472108700835,0.070329504321635,-0.029108848268304,0.97677777889187,0.994571169867727
"10549",3622.23019602407,-0.00129809615747731,0.0452643304529261,-0.0286781256783926,0.977121302371294,0.994779052023663
"7799",322.147369413011,-0.00257579444361298,0.0960813502799555,-0.0268084746530705,0.978612493852828,0.99492687885441
"50999",1104.27952957129,0.00164304003032423,0.061679285683676,0.0266384412872517,0.978748112415888,0.99492687885441
"7391",578.802886359178,0.00203815585625578,0.077046119436797,0.0264537120254023,0.978895453117422,0.99492687885441
"105374382",186.719948339343,-0.00336250295087263,0.125242626649614,-0.0268479114565343,0.978581039158045,0.99492687885441
"10213",878.069727173626,-0.00185653940797949,0.0688301364092424,-0.0269727695575247,0.978481452872089,0.99492687885441
"79411",116.636213732515,-0.00435757045284282,0.154765310610608,-0.0281559894504172,0.977537738625344,0.99492687885441
"112267941",117.576495529944,-0.00422612737579291,0.152682466419411,-0.0276791924763905,0.977918019343225,0.99492687885441
"6941",1356.8233196027,-0.00147583987215705,0.0560660261413057,-0.0263232473162521,0.978999512657174,0.99492687885441
"57531",163.608227411914,0.00352544816223331,0.134569036137627,0.0261980635621685,0.979099360407215,0.99492687885441
"101927632",159.978977706947,-0.00391452374992957,0.143243444609585,-0.0273277688944073,0.978198308760833,0.99492687885441
"51076",132.993401913193,0.00413636779074826,0.150137910099189,0.0275504553647747,0.978020697539358,0.99492687885441
"55038",910.552607525428,0.0017649619922658,0.0674693965895002,0.0261594453408891,0.979130162733093,0.99492687885441
"100129387",111.322728512637,0.00438748248135528,0.157752349274028,0.0278124699983635,0.977811720190294,0.99492687885441
"54778",882.33971835889,0.00198581188310192,0.0700025693054134,0.0283676999688118,0.977368885519318,0.99492687885441
